listing_id,listing_name,platform,listing_url,location,bedrooms,bathrooms,guests,beds,rating,review_count,hot_tub,arcade_game_room,fireplace,resort_amenities,pet_friendly,ev_charger,source_observed_at,source_label,snapshot_notes
airbnb-1115188793929858297,"Modern Family Cabin — Pool, Hot Tub & Game Room",Airbnb,https://www.airbnb.com/rooms/1115188793929858297,Sevierville,2,2,6,3,4.88,120,True,True,False,True,False,True,2026-07-28,Public listing metadata,
airbnb-19271140,Private Cabin with Hot Tub & Community Pool,Airbnb,https://www.airbnb.com/rooms/19271140,Pigeon Forge,2,2.5,6,2,4.43,7,True,False,False,True,False,False,2026-07-28,Public listing metadata,
airbnb-6403463,"Simple Pleasures — Pool, Hot Tub, Arcade",Airbnb,https://www.airbnb.com/rooms/6403463,Sevierville,2,2,6,3,4.74,23,True,True,False,True,False,False,2026-07-28,Public listing metadata,
airbnb-1399346950065237580,"Charming Cabin with Pool Table, Fireplace, Hot Tub",Airbnb,https://www.airbnb.com/rooms/1399346950065237580,Sevierville,2,2,6,2,4.86,7,True,True,True,False,False,False,2026-07-28,Public listing metadata,
airbnb-1350822856818402294,Smoky Mountain Retreat — Game Room & Hot Tub,Airbnb,https://www.airbnb.com/rooms/1350822856818402294,Sevierville,2,2,8,3,4.89,27,True,True,True,False,True,False,2026-07-28,Public listing metadata,
airbnb-606847009531584903,"Summer Sale — Pool Table, Hot Tub & Arcade",Airbnb,https://www.airbnb.com/rooms/606847009531584903,Pigeon Forge,2,2,6,3,4.95,85,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-773260172213032582,"Cozy Hideaway — Hot Tub, Arcade, Dogs OK",Airbnb,https://www.airbnb.com/rooms/773260172213032582,Sevierville,2,2.5,8,4,4.85,137,True,True,False,False,True,False,2026-07-28,Public listing metadata,
airbnb-569608327731407135,Chic 2BR Cabin — Hot Tub and Pool,Airbnb,https://www.airbnb.com/rooms/569608327731407135,Sevierville,2,2,6,2,4.9,175,True,False,False,True,False,False,2026-07-28,Public listing metadata,
airbnb-1090790917979117153,Cozy Log Cabin — Hot Tub & Game Room,Airbnb,https://www.airbnb.com/rooms/1090790917979117153,Sevierville,2,3,10,5,4.94,50,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-50468913,"Cathedral Cabin — 2 King BR, Hot Tub",Airbnb,https://www.airbnb.com/rooms/50468913,Pigeon Forge,2,2,6,3,4.87,216,True,False,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-1238402702675362095,"Peaceful 2BR — Mountain Views, Hot Tub, Arcade",Airbnb,https://www.airbnb.com/rooms/1238402702675362095,Sevierville,2,2,8,4,4.88,60,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-1009478970870467577,Secluded Wood Cabin with Hot Tub,Airbnb,https://www.airbnb.com/rooms/1009478970870467577,Sevierville,2,2,6,3,3.75,4,True,False,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-897075219705129785,"Pool Cabin — Hot Tub, Decks, Game Systems",Airbnb,https://www.airbnb.com/rooms/897075219705129785,Sevierville,2,,8,5,,,True,True,False,True,False,False,2026-07-28,Public listing metadata,
airbnb-1173959325276431549,Long Overdue — Hot Tub and Cozy Spaces,Airbnb,https://www.airbnb.com/rooms/1173959325276431549,Pigeon Forge,2,2.5,6,2,4.71,14,True,False,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-54018837,"New Cabin — Hot Tub, Fireplace, Arcade",Airbnb,https://www.airbnb.com/rooms/54018837,Sevierville,2,2,6,3,4.96,184,True,True,True,False,False,False,2026-07-28,Public listing metadata,
airbnb-594901396169212655,"Family Cabin — Hot Tub, Game Loft & Pool",Airbnb,https://www.airbnb.com/rooms/594901396169212655,Sevierville,2,2,8,6,4.94,183,True,True,True,True,False,False,2026-07-28,Public listing metadata,
airbnb-572534360211247829,5 Min to Dollywood — Hot Tub and Arcade,Airbnb,https://www.airbnb.com/rooms/572534360211247829,Pigeon Forge,2,2,8,4,4.93,234,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-1559510812241171614,Smoky Mountain Cabin Retreat — Games and Views,Airbnb,https://www.airbnb.com/rooms/1559510812241171614,Sevierville,2,2,8,4,4.71,7,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-1663252006933856169,"Smoky Cabin — Hot Tub, Arcade & Mountain Views",Airbnb,https://www.airbnb.com/rooms/1663252006933856169,Pigeon Forge,2,1.5,8,3,5.0,,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-1360319876527301902,"Hot Tub, Game Room and Pool Access",Airbnb,https://www.airbnb.com/rooms/1360319876527301902,Sevierville,2,2,8,6,4.99,95,True,True,False,True,False,False,2026-07-28,Public listing metadata,
airbnb-1019400033029023142,"Kids Area, Arcade, Hot Tub near Dollywood",Airbnb,https://www.airbnb.com/rooms/1019400033029023142,Pigeon Forge,2,2.5,8,5,4.99,129,True,True,True,False,False,False,2026-07-28,Public listing metadata,
airbnb-1486876819845522198,"Lake Access, Hot Tub, Game Room, Pool, Pets",Airbnb,https://www.airbnb.com/rooms/1486876819845522198,Sevierville,2,2,8,4,4.94,34,True,True,True,True,True,False,2026-07-28,Public listing metadata,
airbnb-1663190494981351936,"Upscale Cabin — Arcades, Skeeball, Hot Tub",Airbnb,https://www.airbnb.com/rooms/1663190494981351936,Pigeon Forge,2,,8,4,,,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-1663884103878724330,"Dog Friendly — Hot Tub, Game Room, Putt Putt",Airbnb,https://www.airbnb.com/rooms/1663884103878724330,Sevierville,2,2,8,4,4.5,2,True,True,False,False,True,False,2026-07-28,Public listing metadata,
airbnb-42405524,"No Steep Roads — Hot Tub, Arcade, Central",Airbnb,https://www.airbnb.com/rooms/42405524,Pigeon Forge,2,2,8,5,4.95,308,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-1415861893994034308,"Pet-Friendly 2BD — Arcade, Hot Tub, Pool",Airbnb,https://www.airbnb.com/rooms/1415861893994034308,Pigeon Forge,2,2,8,,,,True,True,True,True,True,False,2026-07-28,Public listing metadata,
airbnb-1425643667639322328,"Peaceful 2BR — Hot Tub, Game Room, Jacuzzi",Airbnb,https://www.airbnb.com/rooms/1425643667639322328,Sevierville,2,,8,,,,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-1669195798120806584,"S’more the Merrier — Views, Hot Tub & Game Loft",Airbnb,https://www.airbnb.com/rooms/1669195798120806584,Sevierville,2,2.5,8,3,,,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-49755480,"Arcade, Hot Tub, Dog-Friendly 2BR Log Cabin",Airbnb,https://www.airbnb.com/rooms/49755480,Gatlinburg,2,2,8,4,5.0,12,True,True,False,False,True,False,2026-07-28,Public listing metadata,
airbnb-52864151,"Bearadise — Theater, Arcade and Mountain Escape",Airbnb,https://www.airbnb.com/rooms/52864151,Sevierville,2,2,6,3,4.94,205,True,True,True,False,False,False,2026-07-28,Public listing metadata,
airbnb-801156671340696334,New 2BD Retreat — Hot Tub + Game Room,Airbnb,https://www.airbnb.com/rooms/801156671340696334,Sevierville,2,2.5,6,,,,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-1613182432834486318,"2 Bedrooms — Game Room, Hot Tub, Resort Pool",Airbnb,https://www.airbnb.com/rooms/1613182432834486318,Pigeon Forge,2,3,,,,,True,True,True,True,False,False,2026-07-28,Public listing metadata,
vrbo-4971614,"Cozy Cabin — Indoor Pool, Hot Tub, Game Room",Vrbo,https://www.vrbo.com/4971614,Sevierville,2,2.5,6,,,,True,True,False,True,False,False,2026-07-28,Public listing metadata,
vrbo-2808411,"Cute & Comfortable Cabin — Hot Tub, Air Hockey, Pool",Vrbo,https://www.vrbo.com/2808411,Sevierville,2,2,6,,,,True,True,True,True,True,False,2026-07-28,Public listing metadata,
vrbo-4949589,"Two King Master Suites — Game Room, Hot Tub, Pool",Vrbo,https://www.vrbo.com/4949589,Pigeon Forge,2,2,6,,,,True,True,False,True,False,False,2026-07-28,Public listing metadata,
vrbo-4242390ha,"2BR — Hot Tub, Foosball, Between Gatlinburg/Pigeon Forge",Vrbo,https://www.vrbo.com/4242390ha,Sevierville,2,2,6,,,,True,True,False,False,True,False,2026-07-28,Public listing metadata,
vrbo-4971609,"Hidden Cabin — Mountain Views, Pickleball, Hot Tub",Vrbo,https://www.vrbo.com/4971609,Sevierville,2,2,6,3,9.6,143,True,True,False,True,False,False,2026-07-28,Public listing metadata,
vrbo-5049196,Little Woods Cabin — Family-Friendly Games,Vrbo,https://www.vrbo.com/5049196,Sevierville,2,2,6,,,,True,True,False,False,False,False,2026-07-28,Public listing metadata,
vrbo-20182104ha,"Keaton’s Cozy Cabin — Hot Tub, Resort Pool, Game Loft",Vrbo,https://www.vrbo.com/20182104ha,Sevierville,2,2,6,,,,True,True,False,True,False,False,2026-07-28,Public listing metadata,
vrbo-3951547,Modern Family Cabin — Game Loft and Hot Tub,Vrbo,https://www.vrbo.com/3951547,Sevierville,2,1.5,6,,9.6,4,True,True,False,False,False,False,2026-07-28,Public listing metadata,
vrbo-2504528,Smoky Mountains FamiLee Cabin in Wears Valley,Vrbo,https://www.vrbo.com/2504528,Wears Valley,2,2,8,,,,True,False,False,True,True,False,2026-07-28,Public listing metadata,
vrbo-3733585,"Friends/Couples — Game Room, Poker Table, Hot Tub",Vrbo,https://www.vrbo.com/3733585,Sevierville,2,2,8,,9.0,2,True,True,False,False,False,False,2026-07-28,Public listing metadata,
vrbo-9821816ha,"Summer Specials — Hot Tub, Arcade, Pool Table",Vrbo,https://www.vrbo.com/9821816ha,Sevierville,2,2.5,8,,10.0,71,True,True,False,True,False,False,2026-07-28,Public listing metadata,
vrbo-2553712,"Smoky Mountain Log Cabin — Hot Tub, Fire Pit, 2 Kings",Vrbo,https://www.vrbo.com/2553712,Sevierville,2,2,6,,,,True,True,True,False,False,False,2026-07-28,Public listing metadata,Public page displayed a date-specific starting price on collection date.
vrbo-2795924,"Majestic Views — 2BR + Loft, Hot Tub, Game Room, Pool",Vrbo,https://www.vrbo.com/2795924,Sevierville,2,2,10,,10.0,121,True,True,False,True,False,False,2026-07-28,Public listing metadata,
vrbo-3644347,New Sugar Plum Pool Cabin — Hot Tub & Game Room,Vrbo,https://www.vrbo.com/3644347,Sevierville,2,2.5,7,,,,True,True,False,True,False,False,2026-07-28,Public listing metadata,
vrbo-5101925,"Hidden Wears Valley Family Retreat — Hot Tub, Pets",Vrbo,https://www.vrbo.com/5101925,Wears Valley,2,,7,,,,True,True,False,False,True,False,2026-07-28,Public listing metadata,
booking-beautiful-2-bed-cabin-with-hot-tub-and-resort-pool-sevierville,Beautiful 2 Bed Cabin with Hot Tub and Resort Pool,Booking.com,https://www.booking.com/hotel/us/beautiful-2-bed-cabin-with-hot-tub-and-resort-pool-sevierville.html,Sevierville,2,2,6,,,,True,False,True,True,False,False,2026-07-28,Public listing metadata,
booking-pigeon-forge-cabin-premier-location-and-hot-tub,Pigeon Forge Cabin — Premier Location & Hot Tub,Booking.com,https://www.booking.com/hotel/us/pigeon-forge-cabin-premier-location-and-hot-tub.html,Pigeon Forge,2,2,6,3,,,True,False,False,False,False,False,2026-07-28,Public listing metadata,
booking-hidden-mountain-dream-2-bedroom-hot-tub-lake-view-free-attraction-tickets-dollyw,"Hidden Mountain Dream — Lake View, Foosball, Hot Tub",Booking.com,https://www.booking.com/hotel/us/hidden-mountain-dream-2-bedroom-hot-tub-lake-view-free-attraction-tickets-dollyw.html,Sevierville,2,,6,,,,True,True,False,False,False,False,2026-07-28,Public listing metadata,
booking-top-of-the-world-pigeon-forge,"Top of the World — 2 Bedroom, Mountain View, Hot Tub",Booking.com,https://www.booking.com/hotel/us/top-of-the-world-pigeon-forge.html,Pigeon Forge,2,2,6,2,,,True,False,False,False,False,False,2026-07-28,Public listing metadata,
booking-moonrise-cabin-hot-tub-arcade-free-attraction-tickets,Moonrise Cabin — Hot Tub and Arcade,Booking.com,https://www.booking.com/hotel/us/moonrise-cabin-hot-tub-arcade-free-attraction-tickets.html,Sevierville,2,,,,,,True,True,False,False,False,False,2026-07-28,Public listing metadata,
booking-alpenhaus-2-bd-cabin-w-private-hot-tub-amp-amazing-location,"Alpenhaus Cozy Log Cabin — 2 Bedrooms, Hot Tub",Booking.com,https://www.booking.com/hotel/us/alpenhaus-2-bd-cabin-w-private-hot-tub-amp-amazing-location.html,Pigeon Forge,2,,6,,,,True,False,False,False,False,False,2026-07-28,Public listing metadata,
booking-charming-sevierville-cabin-with-private-hot-tub,2 Mi to Parkway — Pet-Friendly Cabin with Hot Tub,Booking.com,https://www.booking.com/hotel/us/charming-sevierville-cabin-with-private-hot-tub.html,Sevierville,2,2,6,3,,,True,False,False,False,True,False,2026-07-28,Public listing metadata,
booking-whisperwood-lodge-hot-tub-arcade-2fireplace,"Whisperwood Lodge — Hot Tub, Arcade, Two Fireplaces",Booking.com,https://www.booking.com/hotel/us/whisperwood-lodge-hot-tub-arcade-2fireplace.html,Sevierville,2,2,6,5,,,True,True,True,False,False,False,2026-07-28,Public listing metadata,
booking-lazy-daze-sevierville1,Pet-Friendly 2 Bedroom with Hot Tub and Arcade,Booking.com,https://www.booking.com/hotel/us/lazy-daze-sevierville1.html,Sevierville,2,,,,,,True,True,False,False,True,False,2026-07-28,Public listing metadata,
booking-comfort-cabin-moonshine-ridge,Bearway to Heaven #2 — Hot Tub and Fire Pit,Booking.com,https://www.booking.com/hotel/us/comfort-cabin-moonshine-ridge.html,Pigeon Forge,2,,,,,,True,False,True,False,False,False,2026-07-28,Public listing metadata,
booking-cozy-sevierville-cabin-2-tier-deck-hot-tub,2-Tier Deck & Hot Tub — Quiet Sevierville Cabin,Booking.com,https://www.booking.com/hotel/us/cozy-sevierville-cabin-2-tier-deck-hot-tub.html,Sevierville,2,,,,,,True,False,False,False,False,False,2026-07-28,Public listing metadata,
booking-pigeon-forge-cabin-game-room-dog-friendly-hot-tub,"Pigeon Forge Cabin — Game Room, Dog Friendly, Hot Tub",Booking.com,https://www.booking.com/hotel/us/pigeon-forge-cabin-game-room-dog-friendly-hot-tub.html,Pigeon Forge,2,,,,,,True,True,False,False,True,False,2026-07-28,Public listing metadata,
booking-serene-modern-cabin-with-hot-tub-games-fire-pit,"Serene Modern Cabin — Hot Tub, Games, Fire Pit",Booking.com,https://www.booking.com/hotel/us/serene-modern-cabin-with-hot-tub-games-fire-pit.html,Sevierville,2,,,,,,True,True,True,False,False,False,2026-07-28,Public listing metadata,
booking-cabin-with-private-hot-tub-about-7-mi-to-pigeon-forge,Cabin with Private Hot Tub — 7 Mi to Pigeon Forge,Booking.com,https://www.booking.com/hotel/us/cabin-with-private-hot-tub-about-7-mi-to-pigeon-forge.html,Sevierville,2,,,,,,True,False,False,False,False,False,2026-07-28,Public listing metadata,
booking-sevierville-sanctuary-w-hot-tub-pool-table,"Sevierville Sanctuary — Hot Tub, Pool Table & Deck",Booking.com,https://www.booking.com/hotel/us/sevierville-sanctuary-w-hot-tub-pool-table.html,Sevierville,2,,,,,,True,True,False,False,False,False,2026-07-28,Public listing metadata,
booking-backwoods-getaway-couple-cabin-retreat-private,"Mountain Cabin — Hot Tub, Pool Table & Fire Pit",Booking.com,https://www.booking.com/hotel/us/backwoods-getaway-couple-cabin-retreat-private.html,Pigeon Forge,2,,,,,,True,True,True,False,False,False,2026-07-28,Public listing metadata,
booking-sky-view-mountain-views-hot-tub-free-attraction-tickets,Sky View — Hot Tub and Mountain Views,Booking.com,https://www.booking.com/hotel/us/sky-view-mountain-views-hot-tub-free-attraction-tickets.html,Sevierville,2,2,6,3,,,True,False,False,True,False,False,2026-07-28,Public listing metadata,
booking-cozy-hilltop-cabin-with-hot-tub-amp-forest-views,Cozy Hilltop Cabin — Hot Tub & Forest Views,Booking.com,https://www.booking.com/hotel/us/cozy-hilltop-cabin-with-hot-tub-amp-forest-views.html,Sevierville,2,,,,,,True,False,False,False,False,False,2026-07-28,Public listing metadata,
booking-beautiful-view-log-cabin-fireplace-hot-tub-arcade-pool-fishing,"Beautiful View — Fireplace, Hot Tub, Arcade, Pool",Booking.com,https://www.booking.com/hotel/us/beautiful-view-log-cabin-fireplace-hot-tub-arcade-pool-fishing.html,Sevierville,2,,,,,,True,True,True,True,False,False,2026-07-28,Public listing metadata,
booking-smoky-mountain-cabin-with-game-room-and-hot-tub,3 Mi to Dollywood — Hot Tub Hideaway and Game Room,Booking.com,https://www.booking.com/hotel/us/smoky-mountain-cabin-with-game-room-and-hot-tub.html,Pigeon Forge,2,,,,,,True,True,False,False,False,False,2026-07-28,Public listing metadata,
